date,site,total_visitors,domestic_visitors,indian_visitors,international_visitors,temperature_c,rainfall_mm,festival,season
2020-12,Janakpur Dham,6051,3830,1784,437,14.2,3,0,winter
2019-08,Janakpur Dham,13139,8195,3526,1418,30.9,275,0,monsoon
2018-04,Lumbini,144304,82731,38665,22908,27.2,24,0,pre-monsoon
2013-06,Pashupatinath,28202,20387,5292,2523,24.3,222,0,monsoon
2010-08,Janakpur Dham,5324,3375,1534,415,31.0,326,0,monsoon
2011-12,Janakpur Dham,26165,17240,7082,1843,13.5,4,1,winter
2015-10,Lumbini,65690,40056,18983,6651,26.0,35,0,post-monsoon
2011-02,Muktinath,1743,594,757,392,-3.0,11,0,winter
2012-01,Pashupatinath,43621,30386,7377,5858,10.6,17,0,winter
2022-02,Janakpur Dham,10796,6917,2819,1060,18.9,11,0,winter
2017-09,Lumbini,94027,56616,25652,11759,27.1,258,0,post-monsoon
2019-04,Pashupatinath,107534,76729,19087,11718,21.4,52,0,pre-monsoon
2011-08,Muktinath,1116,370,491,255,13.5,47,1,monsoon
2025-10,Pashupatinath,128544,90587,22568,15389,18.9,52,0,post-monsoon
2019-11,Lumbini,203149,116660,54266,32223,20.7,5,1,post-monsoon
2013-01,Muktinath,1610,583,745,282,-5.2,7,0,winter
2017-05,Muktinath,9818,3368,4237,2213,9.6,29,0,pre-monsoon
2018-09,Muktinath,8448,3200,3770,1478,13.0,39,0,post-monsoon
2020-08,Janakpur Dham,1646,1076,440,130,,284,0,monsoon
2019-01,Janakpur Dham,19764,12289,5848,1627,14.4,14,0,winter
2013-07,Pashupatinath,,,,,24.7,392,0,monsoon
2021-10,Muktinath,1932,632,862,438,7.0,14,0,post-monsoon
2021-05,Muktinath,1964,684,913,367,10.1,32,0,pre-monsoon
2018-05,Muktinath,9202,3381,4002,1819,11.9,27,0,pre-monsoon
2021-02,Janakpur Dham,5284,3421,1448,415,16.3,10,0,winter
2018-11,Janakpur Dham,42900,28870,12284,1746,19.6,6,1,post-monsoon
2017-02,Janakpur Dham,14940,9292,4409,1239,16.7,10,0,winter
2020-07,Janakpur Dham,1864,1181,525,158,30.1,373,0,monsoon
2024-07,Pashupatinath,33999,24790,5763,3446,22.8,332,0,monsoon
2012-08,Janakpur Dham,5941,3838,1716,387,28.5,331,0,monsoon
2018-03,Lumbini,181102,99668,47626,33808,22.1,14,0,pre-monsoon
09-2019,Pashupatinath,67297,49022,11257,7018,22.0,290,0,post-monsoon
